address,appraisal,appraisal_old,assessment_new,assessment_old,appraisal_year1,assessment_year1,appraisal_year2,assessment_year2
12 ABBY LA,359300,238300,251509.99999999997,166810,268550,187985,298800,209160
24 ABBY LA,406300,285000,284410,199500,315325,220727.5,345650,241954.99999999997
25 ABBY LA,387300,261300,271110,182910,292800,204960,324300,227010
30 ABBY LA,413000,278200,289100,194740,311900,218330,345600,241919.99999999997
34 ABBY LA,366200,224800,256339.99999999997,157360,260150,182105,295500,206850
17 ADAMS ST,10100,5800,7070,4059.9999999999995,6875,4812.5,7950,5565
10 ADDISON RD,333100,209000,233169.99999999997,146300,240025,168017.5,271050,189735
15 ADDISON RD,271700,170300,190190,119209.99999999999,195650,136955,221000,154700
16 ADDISON RD,279600,173700,195720,121589.99999999999,200175,140122.5,226650,158655
22 ADDISON RD,252000,162900,176400,114030,185175,129622.49999999999,207450,145215
23 ADDISON RD,305900,183200,214130,128239.99999999999,213875,149712.5,244550,171185
28 ADDISON RD,258000,177600,180600,124319.99999999999,197700,138390,217800,152460
29 ADDISON RD,292400,160200,204680,112140,193250,135275,226300,158410
34 ADDISON RD,260000,165400,182000,115779.99999999999,189050,132335,212700,148890
37 ADDISON RD,263400,164000,184380,114799.99999999999,188850,132195,213700,149590
15 ADLA DR,350700,247200,245489.99999999997,173040,273075,191152.5,298950,209265
20 ADLA DR,413900,250000,289730,175000,290975,203682.5,331950,232364.99999999997
29 ADLA DR,466800,320500,326760,224350,357075,249952.49999999997,393650,275555
30 ADLA DR,383400,250800,268380,175560,283950,198765,317100,221970
40 ADLA DR,360400,244700,252279.99999999997,171290,273625,191537.5,302550,211785
41 ADLA DR,358200,230500,250739.99999999997,161350,262425,183697.5,294350,206045
52 ADLA DR,386100,251000,270270,175700,284775,199342.5,318550,222985
53 ADLA DR,399000,221500,279300,155050,265875,186112.5,310250,217175
64 ADLA DR,430300,255200,301210,178640,298975,209282.5,342750,239924.99999999997
65 ADLA DR,396000,264000,277200,184800,297000,207900,330000,230999.99999999997
74 ADLA DR,359400,237300,251579.99999999997,166110,267825,187477.5,298350,208845
77 ADLA DR,360500,225000,252349.99999999997,157500,258875,181212.5,292750,204925
86 ADLA DR,444100,305500,310870,213850,340150,238104.99999999997,374800,262360
89 ADLA DR,358100,231000,250669.99999999997,161700,262775,183942.5,294550,206185
100 ADLA DR,519200,372200,363440,260539.99999999997,408950,286265,445700,311990
101 ADLA DR,318300,200900,222810,140630,230250,161175,259600,181720
12 ALBERT RD,304600,180400,213220,126279.99999999999,211450,148015,242500,169750
15 ALBERT RD,249999,165300,174999.3,115709.99999999999,186474.75,130532.325,207649.5,145354.65
18 ALBERT RD,305500,189300,213850,132510,218350,152845,247400,173180
21 ALBERT RD,262700,162700,183890,113890,187700,131390,212700,148890
24 ALBERT RD,278200,161800,194740,113260,190900,133630,220000,154000
27 ALBERT RD,269000,174500,188300,122149.99999999999,198125,138687.5,221750,155225
33 ALBERT RD,282800,170400,197960,119279.99999999999,198500,138950,226600,158620
36 ALBERT RD,267400,156600,187180,109620,184300,129009.99999999999,212000,148400
39 ALBERT RD,293500,169800,205450,118859.99999999999,200725,140507.5,231650,162155
45 ALBERT RD,295200,177500,206640,124249.99999999999,206925,144847.5,236350,165445
50 ALBERT RD,258600,154000,181020,107800,180150,126104.99999999999,206300,144410
51 ALBERT RD,262800,160800,183960,112560,186300,130409.99999999999,211800,148260
56 ALBERT RD,266500,161900,186550,113330,188050,131635,214200,149940
59 ALBERT RD,265100,161800,185570,113260,187625,131337.5,213450,149415
65 ALBERT RD,320500,202900,224350,142030,232300,162610,261700,183190
14 ALBERTSON RD,277600,183000,194320,128099.99999999999,206650,144655,230300,161210
15 ALBERTSON RD,235000,155900,164500,109130,175675,122972.49999999999,195450,136815
18 ALBERTSON RD,314600,207700,220220,145390,234425,164097.5,261150,182805
19 ALBERTSON RD,238800,152900,167160,107030,174375,122062.49999999999,195850,137095
25 ALBERTSON RD,305500,201900,213850,141330,227800,159460,253700,177590
26 ALBERTSON RD,280900,185100,196630,129569.99999999999,209050,146335,233000,163100
5 ALENIER ST,263400,174300,184380,122009.99999999999,196575,137602.5,218850,153195
9 ALENIER ST,287900,166600,201530,116619.99999999999,196925,137847.5,227250,159075
14 ALENIER ST,278700,179300,195090,125509.99999999999,204150,142905,229000,160300
15 ALENIER ST,265700,173700,185990,121589.99999999999,196700,137690,219700,153790
18 ALENIER ST,316600,160600,221620,112420,199600,139720,238600,167020
19 ALENIER ST,268100,171300,187670,119909.99999999999,195500,136850,219700,153790
23 ALENIER ST,250800,161100,175560,112770,183525,128467.49999999999,205950,144165
27 ALENIER ST,265600,164400,185920,115079.99999999999,189700,132790,215000,150500
28 ALENIER ST,253400,161200,177380,112840,184250,128974.99999999999,207300,145110
30 ALENIER ST,273000,178700,191100,125089.99999999999,202275,141592.5,225850,158095
31 ALENIER ST,279700,180200,195790,126139.99999999999,205075,143552.5,229950,160965
34 ALENIER ST,328400,186600,229879.99999999997,130619.99999999999,222050,155435,257500,180250
35 ALENIER ST,278700,175400,195090,122779.99999999999,201225,140857.5,227050,158935
38 ALENIER ST,274100,174600,191870,122219.99999999999,199475,139632.5,224350,157045
