address,polling_place,house_num_low,house_num_high,district
Beechwood Ave,Booker T Washington Academy,1,999999,2
Beechwood Ln,Board Of Education Building,1,50,5
Belair Rd,Booker T Washington Academy,1,999999,2
Belden Rd,Booker T Washington Academy,1,999999,2
Belmont St,Board Of Education Building,1,999999,5
Bender Rd,Bear Path School,1,999999,8
Benham Hill Pl,Dunbar Hill School,1,999999,7
Benham St,Dunbar Hill School,1,820,7
Benham St,Dunbar Hill School,821,999999,7
Benton St,Ridge Hill School,1,999999,6
Berkeley Ct,West Woods School,1,999999,9
Beverly Rd,Spring Glen School,1,999999,4
Biehl Rd,Miller Library,1,999999,1
Birchwood Dr,West Woods School,1,999999,9
Bittersweet Ln,West Woods School,1,999999,9
Blacy St,Booker T Washington Academy,1,999999,2
Blake Cir,Board Of Education Building,1,999999,5
Blake Rd,Board Of Education Building,56,254,5
Blake Rd,Board Of Education Building,49,75,5
Blake Rd,Board Of Education Building,77,279,5
Bliss Ave,Ridge Hill School,1,999999,6
Blue Hills Ave,Booker T Washington Academy,1,999999,2
Blue Trl,West Woods School,1,999999,9
Bolton St,Miller Library,1,999999,1
Booth Ter,Bear Path School,1,999999,8
Bowen St,Keefe Community Center,1,999999,3
Bradford Rd,Booker T Washington Academy,1,999999,2
Bradley Ave,Booker T Washington Academy,1,999999,2
Braeside Dr,Bear Path School,1,999999,8
Brecken Ridge Ct,Dunbar Hill School,1,999999,7
Breezy Ct,West Woods School,1,999999,9
Brenton Ter,Miller Library,2,999998,1
Brenton Ter,Spring Glen School,1,999999,4
Brentwood Dr,Miller Library,2,999998,1
Brentwood Dr,Spring Glen School,1,999999,4
Briar Ln,Board Of Education Building,1,999999,5
Briarcliff Rd,Miller Library,1,999999,1
Brinsmade Rd,Dunbar Hill School,1,65,7
Brinsmade Rd,Dunbar Hill School,66,999999,7
Broadfield Rd,Ridge Hill School,1,999999,6
Broadway,Miller Library,1,999999,1
Broken Arrow Rd,West Woods School,1,999999,9
Bromley Ct,Bear Path School,1,999999,8
Brook Hill Rd,Dunbar Hill School,1,999999,7
Brook St,Booker T Washington Academy,223,999999,2
Brook St,Booker T Washington Academy,2,222,2
Brook St,Booker T Washington Academy,1,221,2
Brookhaven Rd,Ridge Hill School,1,999999,6
Brookside Dr,Ridge Hill School,1,999999,6
Brooksvale Ave,West Woods School,1,650,9
Brown St,Miller Library,1,999999,1
Bruschayt Dr,West Woods School,1,999999,9
Bryden Ter,Board Of Education Building,1,80,5
Bryden Ter,Board Of Education Building,81,999999,5
Building Brook Rd,Dunbar Hill School,1,999999,7
Burke St,Keefe Community Center,1,999999,3
Busher Ln,West Woods School,1,999999,9
Butler St,Keefe Community Center,181,999999,3
Buttonwood Path,West Woods School,1,999999,9
Calamus Meadow Rd,Dunbar Hill School,1,999999,7
Cannon St,Miller Library,1,999999,1
Canterbury Rd,Bear Path School,1,999999,8
Carbonella Dr,Dunbar Hill School,1,999999,7
Cardo Rd,Ridge Hill School,1,999999,6
Carew Rd,Ridge Hill School,1,999999,6
Carleton St,Board Of Education Building,1,999999,5
Carmalt Rd,Ridge Hill School,1,999999,6
Carmel St,Miller Library,1,999999,1
Caroline St,Board Of Education Building,1,49,5
Caroline St,Board Of Education Building,50,999998,5
Caroline St,Board Of Education Building,51,999999,5
Carrington St,Booker T Washington Academy,1,999999,2
Carroll Rd,Ridge Hill School,1,999999,6
Cassella Dr,Dunbar Hill School,1,999999,7
Centerbrook Rd,Spring Glen School,1,999999,4
Central Ave,Spring Glen School,1,999999,4
Chandler Pl,Ridge Hill School,1,999999,6
Charlson Ln,Ridge Hill School,1,999999,6
Charlton Hill Rd,Miller Library,1,999999,1
Chatterton Way,West Woods School,1,999999,9
Chatterton Woods,West Woods School,1,999999,9
Chauncey Rd,Dunbar Hill School,1,999999,7
Cherry Ann St,Keefe Community Center,1,999999,3
Cherry Hill Rd,Dunbar Hill School,1,999999,7
Chester St,Booker T Washington Academy,1,999999,2
Chestnut Ln,West Woods School,1,999999,9
Choate Ave,West Woods School,1,839,9
Choate Ave,West Woods School,840,999999,9
Church St,Booker T Washington Academy,1,999999,2
Churchill Rd,Ridge Hill School,1,999999,6
Circular Ave,Booker T Washington Academy,1,543,2
Circular Ave,Dunbar Hill School,544,999999,7
Claire Ter,Booker T Washington Academy,1,999999,2
Clark St,Miller Library,1,999999,1
Clifford St,Board Of Education Building,1,999999,5
Clover Cir,Dunbar Hill School,1,999999,7
Cobblestone Dr,Bear Path School,1,999999,8
Cole Rd,Miller Library,1,999999,1
Collier Cir,West Woods School,1,999999,9
Collins St,Booker T Washington Academy,1,999999,2
Colonial Dr,Spring Glen School,49,999999,4
Colonial Dr,Spring Glen School,2,48,4
