address,appraisal,sale_date,sale_price,use_code,use_description,zone,neighborhood,acres,land_value,style,model,grade,hist_land_value,hist_total_value,street_url,status
12 ABBY LA ,359300,06/28/1999,194900,1010,Single Fam M01,R3,100,0.56,88300,Ranch,Residential,C,61900,238300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ABBY%20LA,success
24 ABBY LA ,409400,02/15/2012,1,1010,Single Fam M01,R3,100,0.54,87800,Colonial,Residential,C +,61500,285000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ABBY%20LA,success
25 ABBY LA ,387300,11/12/2009,300000,1010,Single Fam M01,R3,100,0.44,84300,Ranch,Residential,C,59100,261300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ABBY%20LA,success
30 ABBY LA ,413000,08/13/1992,175000,1012,SFR ADU-ATT,R3,100,0.57,88600,Colonial,Residential,C +,62100,278200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ABBY%20LA,success
34 ABBY LA ,366200,02/21/2020,230000,1010,Single Fam M01,R3,100,0.48,86000,Raised Ranch,Residential,C +,60300,224800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ABBY%20LA,success
17 ADAMS ST ,10100,05/15/1959,0,1320,Vacant Unb M00,T4,W,0.17,10100,Vacant Land,       ,       ,5800,5800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADAMS%20ST,success
10 ADDISON RD ,333100,06/18/2024,365000,1010,Single Fam M01,R4,20,0.14,83200,Cape Cod,Residential,C,48700,209000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADDISON%20RD,success
15 ADDISON RD ,271700,07/29/1998,100000,1010,Single Fam M01,R4,20,0.15,84800,Cape Cod,Residential,C,49700,170300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADDISON%20RD,success
16 ADDISON RD ,279600,08/31/1998,105000,1010,Single Fam M01,R4,20,0.14,83200,Cape Cod,Residential,C,48700,173700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADDISON%20RD,success
22 ADDISON RD ,252000,01/23/1997,117000,1010,Single Fam M01,R4,20,0.14,83200,Cape Cod,Residential,C,48700,162900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADDISON%20RD,success
23 ADDISON RD ,305900,07/12/2000,132500,1010,Single Fam M01,R4,20,0.15,84800,Cape Cod,Residential,C,49700,183200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADDISON%20RD,success
28 ADDISON RD ,284000,07/28/2020,176000,1010,Single Fam M01,R4,20,0.14,83200,Cape Cod,Residential,C,48700,177600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADDISON%20RD,success
29 ADDISON RD ,255800,01/27/2025,365000,1010,Single Fam M01,R4,20,0.15,84800,Cape Cod,Residential,C,49700,160200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADDISON%20RD,success
34 ADDISON RD ,272000,09/27/2021,249000,1010,Single Fam M01,R4,20,0.14,83200,Cape Cod,Residential,C,48700,165400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADDISON%20RD,success
37 ADDISON RD ,263400,04/30/2013,0,1010,Single Fam M01,R4,20,0.15,84800,Cape Cod,Residential,C,49700,164000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADDISON%20RD,success
15 ADLA DR ,350700,02/20/2024,0,1010,Single Fam M01,R3,100,0.63,90000,Colonial,Residential,C +,63000,247200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADLA%20DR,success
20 ADLA DR ,413900,01/11/2013,0,9050,PVT GROUP HOME,R3,100,0.55,88100,Ranch,Residential,C +,61700,250000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADLA%20DR,success
29 ADLA DR ,466800,02/06/2002,1,1012,SFR ADU-ATT,R3,100,0.58,88800,Ranch,Residential,C +,62200,320500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADLA%20DR,success
30 ADLA DR ,383400,05/06/2005,264000,1010,Single Fam M01,R3,100,0.52,87400,Split-Level,Residential,C +,61200,250800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADLA%20DR,success
40 ADLA DR ,360400,10/02/1995,130000,1010,Single Fam M01,R3,100,0.47,85600,Colonial,Residential,C +,60000,244700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADLA%20DR,success
41 ADLA DR ,358200,10/11/2001,223000,1010,Single Fam M01,R3,100,0.52,87400,Ranch,Residential,C +,61200,230500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADLA%20DR,success
52 ADLA DR ,386100,10/04/1988,0,1010,Single Fam M01,R3,100,0.43,83900,Split-Level,Residential,C +,58800,251000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADLA%20DR,success
53 ADLA DR ,399000,12/16/2024,401000,1010,Single Fam M01,R3,100,0.49,86500,Ranch,Residential,C +,60600,221500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADLA%20DR,success
64 ADLA DR ,430300,05/05/2020,265000,1010,Single Fam M01,R3,100,0.43,83900,Split-Level,Residential,C +,58800,255200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADLA%20DR,success
65 ADLA DR ,396000,11/09/2004,345000,1010,Single Fam M01,R3,100,0.51,87100,Colonial,Residential,C +,61100,264000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADLA%20DR,success
74 ADLA DR ,359400,08/15/2024,0,1010,Single Fam M01,R3,100,0.45,84700,Ranch,Residential,C +,59400,237300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADLA%20DR,success
77 ADLA DR ,360500,12/21/2005,375000,1010,Single Fam M01,R3,100,0.49,86500,Ranch,Residential,C +,60600,225000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADLA%20DR,success
86 ADLA DR ,444100,10/07/2020,270000,1010,Single Fam M01,R3,100,0.45,84700,Split-Level,Residential,C +,59400,305500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADLA%20DR,success
89 ADLA DR ,358100,06/09/2014,253400,1010,Single Fam M01,R3,100,0.49,82100,Colonial,Residential,C +,57600,231000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADLA%20DR,success
100 ADLA DR ,519200,10/14/2020,0,1010,Single Fam M01,R3,100,0.48,86000,Colonial,Residential,B -,60300,372200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADLA%20DR,success
101 ADLA DR,318300,04/10/2019,211000,1010,Single Fam M01,R3,100,0.38,73500,Raised Ranch,Residential,C +,51500,200900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ADLA%20DR,success
12 ALBERT RD ,304600,10/02/2017,176000,1010,Single Fam M01,R4,70,0.17,79900,Cape Cod,Residential,C,44200,180400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERT%20RD,success
15 ALBERT RD ,270700,07/31/1968,0,1010,Single Fam M01,R4,70,0.17,79900,Cape Cod,Residential,C,44200,165300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERT%20RD,success
18 ALBERT RD ,305500,02/23/1994,73000,1010,Single Fam M01,R4,70,0.27,88500,Cape Cod,Residential,C,49000,189300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERT%20RD,success
21 ALBERT RD ,262700,11/08/2011,1,1010,Single Fam M01,R4,70,0.17,79900,Cape Cod,Residential,C,44200,162700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERT%20RD,success
24 ALBERT RD ,278200,05/22/1997,77000,1010,Single Fam M01,R4,70,0.17,79900,Cape Cod,Residential,C,44200,161800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERT%20RD,success
27 ALBERT RD ,269000,04/20/2001,100000,1010,Single Fam M01,R4,70,0.17,79900,Cape Cod,Residential,C,44200,174500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERT%20RD,success
