STREET NAME,POLLING PLACE,RANGE
Beechwood Ave,Booker T Washington Academy,1-999999
Beechwood Ln,Board Of Education Building,1-50
Belair Rd,Booker T Washington Academy,1-999999
Belden Rd,Booker T Washington Academy,1-999999
Belmont St,Board Of Education Building,1-999999
Bender Rd,Bear Path School,1-999999
Benham Hill Pl,Dunbar Hill School,1-999999
Benham St,Dunbar Hill School,1-820
Benham St,Dunbar Hill School,821-999999
Benton St,Ridge Hill School,1-999999
Berkeley Ct,West Woods School,1-999999
Beverly Rd,Spring Glen School,1-999999
Biehl Rd,Miller Library,1-999999
Birchwood Dr,West Woods School,1-999999
Bittersweet Ln,West Woods School,1-999999
Blacy St,Booker T Washington Academy,1-999999
Blake Cir,Board Of Education Building,1-999999
Blake Rd,Board Of Education Building,56-254
Blake Rd,Board Of Education Building,49-75
Blake Rd,Board Of Education Building,77-279
Bliss Ave,Ridge Hill School,1-999999
Blue Hills Ave,Booker T Washington Academy,1-999999
Blue Trl,West Woods School,1-999999
Bolton St,Miller Library,1-999999
Booth Ter,Bear Path School,1-999999
Bowen St,Keefe Community Center,1-999999
Bradford Rd,Booker T Washington Academy,1-999999
Bradley Ave,Booker T Washington Academy,1-999999
Braeside Dr,Bear Path School,1-999999
Brecken Ridge Ct,Dunbar Hill School,1-999999
Breezy Ct,West Woods School,1-999999
Brenton Ter,Miller Library,2-999998
Brenton Ter,Spring Glen School,1-999999
Brentwood Dr,Miller Library,2-999998
Brentwood Dr,Spring Glen School,1-999999
Briar Ln,Board Of Education Building,1-999999
Briarcliff Rd,Miller Library,1-999999
Brinsmade Rd,Dunbar Hill School,1-65
Brinsmade Rd,Dunbar Hill School,66-999999
Broadfield Rd,Ridge Hill School,1-999999
Broadway,Miller Library,1-999999
Broken Arrow Rd,West Woods School,1-999999
Bromley Ct,Bear Path School,1-999999
Brook Hill Rd,Dunbar Hill School,1-999999
Brook St,Booker T Washington Academy,223-999999
Brook St,Booker T Washington Academy,2-222
Brook St,Booker T Washington Academy,1-221
Brookhaven Rd,Ridge Hill School,1-999999
