"address","property_tax_new","property_tax_old","appraisal_new","assessment_new","appraisal_old","assessment_old"
"12 ABBY LA",11722.881099999997,9276.3041,359300,251509.99999999997,238300,166810
"24 ABBY LA",13357.4938,11094.195,409400,286580,285000,199500
"25 ABBY LA",12636.4371,10171.6251,387300,271110,261300,182910
"30 ABBY LA",13474.951,10829.4914,413000,289100,278200,194740
"34 ABBY LA",11948.007399999999,8750.7896,366200,256339.99999999997,224800,157360
"17 ADAMS ST",329.53270000000003,225.77659999999997,10100,7070,5800,4059.9999999999995
"10 ADDISON RD",10868.053699999999,8135.743,333100,233169.99999999997,209000,146300
"15 ADDISON RD",8864.7559,6629.268099999998,271700,190190,170300,119209.99999999999
"16 ADDISON RD",9122.509199999999,6761.6199,279600,195720,173700,121589.99999999999
"22 ADDISON RD",8222.004,6341.2083,252000,176400,162900,114030
"23 ADDISON RD",9980.5993,7131.426399999999,305900,214130,183200,128239.99999999999
"28 ADDISON RD",9266.068,6913.435199999999,284000,198800,177600,124319.99999999999
"29 ADDISON RD",8345.9866,6236.1054,255800,179060,160200,112140
"34 ADDISON RD",8874.544,6438.5257999999985,272000,190400,165400,115779.99999999999
"37 ADDISON RD",8593.9518,6384.027999999999,263400,184380,164000,114799.99999999999
"15 ADLA DR",11442.288899999998,9622.7544,350700,245489.99999999997,247200,173040
"20 ADLA DR",13504.3153,9731.75,413900,289730,250000,175000
"29 ADLA DR",15230.283599999999,12476.1035,466800,326760,320500,224350
"30 ADLA DR",12509.1918,9762.891599999999,383400,268380,250800,175560
"40 ADLA DR",11758.770799999998,9525.4369,360400,252279.99999999997,244700,171290
"41 ADLA DR",11686.991399999999,8972.6735,358200,250739.99999999997,230500,161350
"52 ADLA DR",12597.2847,9770.677,386100,270270,251000,175700
"53 ADLA DR",13018.173,8622.3305,399000,279300,221500,155050
"64 ADLA DR",14039.3981,9934.1704,430300,301210,255200,178640
"65 ADLA DR",12920.292,10276.728,396000,277200,264000,184800
"74 ADLA DR",11726.143799999998,9237.3771,359400,251579.99999999997,237300,166110
"77 ADLA DR",11762.033499999998,8758.575,360500,252349.99999999997,225000,157500
"86 ADLA DR",14489.6507,11892.1985,444100,310870,305500,213850
"89 ADLA DR",11683.7287,8992.137,358100,250669.99999999997,231000,161700
"100 ADLA DR",16939.9384,14488.629399999998,519200,363440,372200,260539.99999999997
"101 ADLA DR",10385.1741,7820.4343,318300,222810,200900,140630
"12 ALBERT RD",9938.1842,7022.430799999999,304600,213220,180400,126279.99999999999
"15 ALBERT RD",8832.1289,6434.633099999999,270700,189490,165300,115709.99999999999
"18 ALBERT RD",9967.5485,7368.8811,305500,213850,189300,132510
"21 ALBERT RD",8571.1129,6333.4229000000005,262700,183890,162700,113890
"24 ALBERT RD",9076.831400000001,6298.388599999999,278200,194740,161800,113260
"27 ALBERT RD",8776.663,6792.761499999999,269000,188300,174500,122149.99999999999
"33 ALBERT RD",9226.9156,6633.160799999999,282800,197960,170400,119279.99999999999
"36 ALBERT RD",8724.4598,6095.9682,267400,187180,156600,109620
"39 ALBERT RD",9576.0245,6609.804599999999,293500,205450,169800,118859.99999999999
"45 ALBERT RD",9631.4904,6909.542499999999,295200,206640,177500,124249.99999999999
"50 ALBERT RD",8437.3422,5994.758,258600,181020,154000,107800
"51 ALBERT RD",8574.3756,6259.4616,262800,183960,160800,112560
"56 ALBERT RD",8695.0955,6302.2813,266500,186550,161900,113330
"59 ALBERT RD",8649.4177,6298.388599999999,265100,185570,161800,113260
"65 ALBERT RD",10456.9535,7898.2883,320500,224350,202900,142030
"14 ALBERTSON RD",9057.2552,7123.640999999999,277600,194320,183000,128099.99999999999
"15 ALBERTSON RD",7667.345,6068.7193,235000,164500,155900,109130
"18 ALBERTSON RD",10264.4542,8085.137900000001,314600,220220,207700,145390
"19 ALBERTSON RD",7791.3276,5951.9383,238800,167160,152900,107030
"25 ALBERTSON RD",9967.5485,7859.3613,305500,213850,201900,141330
"26 ALBERTSON RD",9164.9243,7205.387699999999,280900,196630,185100,129569.99999999999
"5 ALENIER ST",8593.9518,6784.976099999999,263400,184380,174300,122009.99999999999
"9 ALENIER ST",9393.313300000002,6485.238199999999,287900,201530,166600,116619.99999999999
"14 ALENIER ST",9093.144900000001,6979.611099999998,278700,195090,179300,125509.99999999999
