PER,JNL,SRC,EFF_DATE,REFERENCE,BEG_BALANCE,DEBITS,CREDITS,NET_CHANGE,END_BALANCE
001 -58-00-001-0810 -,,,,,,,,,
PRINCIPAL,,,10001,.00,,,,,
1,606,GEN,07/31/23, ADJ,,615000.00,0,615000.00,
2,184,GEN,08/01/23, 080123 8-1-23 DEBT SERVICE,,7543900.00,0,8158900.00,
2,330,GEN,08/15/23,,,5585000.00,0,13743900.00,
2,389,GRV,08/01/23, 080123,,.00,7543900,6200000.00,
2,390,GRV,08/15/23,,,.00,5585000,615000.00,
2,393,GEN,08/01/23, ADJ,,615000.00,0,1230000.00,
2,394,GEN,08/15/23, ADJ,,5585000.00,0,6815000.00,
2,397,GEN,08/15/23, ADJ,,2750000.00,0,9565000.00,
2,398,GRV,08/15/23, ADJ,,.00,2750000,6815000.00,
2,401,GRV,08/01/23, ADJ,,.00,615000,6200000.00,
8,226,GEN,02/15/24,,,.00,7898900,-1698900.00,
8,317,GRV,02/15/24,,,7898900.00,0,6200000.00,
,10001-0810,,,,0,30592800.00,24392800,6200000.00,6200000
001 -58-00-001-0810P -,,,,,,,,,
POB PRINCIPAL,,,10001,.00,,,,,
2,331,GEN,08/15/23,,,2750000.00,0,2750000.00,
2,391,GRV,08/15/23,,,.00,2750000,.00,
2,399,GEN,08/15/23, ADJ,,2750000.00,0,2750000.00,
8,171,GEN,02/15/24,,,2617465.35,0,5367465.35,
8,225,GRV,02/15/24,,,.00,2617465.35,2750000.00,
,,,10001-0810P,.00 8117465.35 5367465.35 2750000.00 2750000.00,,,,,
001 -58-00-001-0811 -,,,,,,,,,
INTEREST,,,10001,.00,,,,,
1,607,GEN,07/31/23, ADJ,,620830.00,0,620830.00,
2,184,GEN,08/01/23, 080123 8-1-23 DEBT SERVICE,,853298.44,0,1474128.44,
2,389,GRV,08/01/23, 080123,,.00,853298.44,620830.00,
2,395,GEN,08/01/23, ADJ,,620830.00,0,1241660.00,
2,396,GEN,08/15/23, ADJ,,3392136.74,0,4633796.74,
2,402,GRV,08/01/23, ADJ,,.00,620830,4012966.74,
7,507,GEN,01/31/24,,,605455.00,0,4618421.74,
7,511,GRV,01/31/24,,,.00,605455,4012966.74,
7,542,GRV,01/31/24,,,605455.00,0,4618421.74,
8,171,GEN,02/15/24,,,605455.00,0,5223876.74,
8,171,GEN,02/15/24,,,3884704.97,0,9108581.71,
8,225,GRV,02/15/24,,,.00,605455,8503126.71,
8,225,GRV,02/15/24,,,.00,3884704.97,4618421.74,
8,226,GEN,02/15/24,,,8673571.00,0,13291992.74,
8,276,GEN,02/29/24,,,6502170.33,0,19794163.07,
8,317,GRV,02/15/24,,,.00,8673571,11120592.07,
8,318,GRV,02/29/24,,,.00,6502170.33,4618421.74,
8,319,GEN,02/15/24, ADJ,,6502170.32,0,11120592.06,
8,320,GEN,02/15/24, ADJ,,.01,0,11120592.07,
,10001-0811,,,,0,32866076.81,21745484.74,11120592.07,11120592.07
001 -58-00-001-0811P -,,,,,,,,,
POB INTEREST,,,10001,.00,,,,,
2,330,GEN,08/15/23,,,3392136.74,0,3392136.74,
2,331,GEN,08/15/23,,,2677621.60,0,6069758.34,
2,390,GRV,08/15/23,,,.00,3392136.74,2677621.60,
2,391,GRV,08/15/23,,,.00,2677621.6,.00,
2,392,GEN,08/15/23,,,2677621.60,0,2677621.60,
8,226,GEN,02/15/24,,,.00,774671,1902950.60,
8,317,GRV,02/15/24,,,774671.00,0,2677621.60,
,,,10001-0811P,.00 9522050.94 6844429.34 2677621.60 2677621.60,,,,,
001 -58-00-001-0823 -,,,,,,,,,
FUND BALANCE RESTORATION,,,10001,.00,,,,,
3,81,CRP,09/11/23, 05 CASH RECEIPTS JOURNAL,,.00,5840.81,-5840.81,
,10001-0823,,,,0,.00,5840.81,-5840.81,-5840.81
001 -51-01-001-0110 -,,,,,,,,,
REGULAR SALARIES,,,10101,.00,,,,,
1,8,PRJ,07/06/23, RUN: 0 WARRANT: 070623,,3836.71,0,3836.71,
1,43,PRJ,07/13/23, RUN: 0 WARRANT: 071323,,3003.38,0,6840.09,
1,114,PRJ,07/20/23, RUN: 0 WARRANT: 072023,,3003.38,0,9843.47,
1,216,PRJ,07/27/23, RUN: 0 WARRANT: 072723,,3003.38,0,12846.85,
2,3,PRJ,08/03/23, RUN: 0 WARRANT: 080323,,3836.71,0,16683.56,
2,56,PRJ,08/10/23, RUN: 0 WARRANT: 081023,,3003.38,0,19686.94,
2,87,PRJ,08/17/23, RUN: 0 WARRANT: 081723,,3003.39,0,22690.33,
2,168,PRJ,08/24/23, RUN: 0 WARRANT: 082423,,3003.38,0,25693.71,
2,201,PRJ,08/31/23, RUN: 0 WARRANT: 083123,,3003.38,0,28697.09,
3,4,PRJ,09/07/23, RUN: 0 WARRANT: 090723,,3836.71,0,32533.80,
3,48,PRJ,09/14/23, RUN: 0 WARRANT: 091423,,3003.37,0,35537.17,
3,120,PRJ,09/21/23, RUN: 0 WARRANT: 092123,,3003.38,0,38540.55,
3,207,PRJ,09/28/23, RUN: 0 WARRANT: 092823,,3003.38,0,41543.93,
4,5,PRJ,10/05/23, RUN: 0 WARRANT: 100523,,3836.71,0,45380.64,
4,58,PRJ,10/12/23, RUN: 0 WARRANT: 101223,,4054.57,0,49435.21,
4,130,PRJ,10/19/23, RUN: 0 WARRANT: 101923,,3078.48,0,52513.69,
4,205,PRJ,10/26/23, RUN: 0 WARRANT: 102623,,3078.47,0,55592.16,
5,2,PRJ,11/02/23, RUN: 0 WARRANT: 110223,,3911.80,0,59503.96,
5,11,PRJ,11/09/23, RUN: 0 WARRANT: 110923,,1998.77,0,61502.73,
